source_row,note,time_s,reference_vr_m_s,calculated_vr_m_s,error_vr_m_s,reference_vn_m_s,calculated_vn_m_s,error_vn_m_s,reference_height_km,calculated_height_km,error_height_km,reference_range_km,calculated_range_km,error_range_km,reference_beta_deg,calculated_beta_deg,error_beta_deg,reference_mass_kg,calculated_mass_kg,error_mass_kg
32,end_of_passive_arc,2245.256,-57.6895,-55.54492290741816,2.144577092581841,1695.926,1687.0140895614727,-8.91191043852723,6.090757,6.051511069353271,-0.039245930646728766,3517.68,3517.6477498461395,-0.03225015386033192,115.9971,115.99590791518683,-0.0011920848131694584,9888.822,9860.168023219816,-28.653976780184166
33,start_of_second_powered_arc_duplicate,2245.256,-57.6895,-55.54492290741816,2.144577092581841,1695.926,1687.0140895614727,-8.91191043852723,6.090757,6.051511069353271,-0.039245930646728766,3517.68,3517.6477498461395,-0.03225015386033192,115.9971,115.99590791518683,-0.0011920848131694584,9888.822,9860.168023219816,-28.653976780184166
34,,2250.67,-54.0381,-53.021984959288645,1.0161150407113553,1683.238,1678.1896784545534,-5.048321545446697,5.788391,5.760012103228346,-0.028378896771654283,3526.8,3526.720049911219,-0.07995008878106091,116.2977,116.29507080975863,-0.002629190241378865,9846.529,9830.575674780945,-15.953325219055841
35,,2280.1,-36.2483,-36.56717032287008,-0.3188703228700831,1612.928,1612.8063232006914,-0.121676799308716,4.468272,4.4381510393057875,-0.03012096069421233,3575.17,3575.051413304795,-0.11858669520506737,117.8926,117.88881776121556,-0.0037822387844386185,9616.604,9616.687360640532,0.08336064053219161
36,,2309.244,-21.9561,-22.123253351783084,-0.1671533517830852,1541.142,1541.1057726356325,-0.03622736436750529,3.627958,3.5788494028326787,-0.0491085971673213,3621.03,3620.9722162034404,-0.05778379655976096,119.4049,119.4030754706908,-0.0018245293092036263,9388.917,9389.003477027367,0.08647702736743668
37,,2336.935,-11.2875,-11.516292764771382,-0.22879276477138255,1470.995,1470.8984036723386,-0.0965963276612456,3.174048,3.1317909626883034,-0.04225703731169661,3662.65,3662.519638743073,-0.13036125692724454,120.7775,120.77311913104062,-0.004380868959387385,9172.587,9172.66950221797,0.08250221797061386
38,,2363.402,-3.58312,-3.6613011341691597,-0.07818113416915962,1402.211,1402.2031179398762,-0.007882060123847623,2.982448,2.927237917396479,-0.055210082603521116,3700.61,3700.557713396342,-0.05228660365810356,122.0293,122.02744057495,-0.0018594250500001408,8965.812,8965.897447303028,0.08544730302855896
39,,2388.95,1.702024,1.5707650434715412,-0.13125895652845876,1334.22,1334.1517617549289,-0.06823824507114296,2.962743,2.911647873558238,-0.05109512644176206,3735.51,3735.375277952875,-0.13472204712525127,123.1801,123.17556434951139,-0.004535650488605825,8766.216,8766.30471512606,0.08871512605946918
40,,2413.81,4.977176,4.966511043471781,-0.010664956528218639,1266.56,1266.571821926215,0.011821926215134226,3.04941,2.993231177590084,-0.056178822409915785,3767.79,3767.728495728299,-0.06150427170086914,124.2444,124.24242525677597,-0.001974743224025133,8571.995,8572.086793613458,0.091793613457412
41,,2438.155,6.564356,6.52987260484394,-0.03448339515605969,1198.863,1198.825697017094,-0.03730298290611245,3.192977,3.1378902231877697,-0.05508677681223029,3797.75,3797.622374095986,-0.12762590401416674,125.2323,125.22818841697803,-0.0041115830219666805,8381.8,8381.8921588409,0.0921588409000833
42,,2462.095,6.732155,6.733609644948638,0.0014546449486383395,1130.89,1130.8596710384131,-0.0303289615869744,3.354713,3.300001435238066,-0.05471156476193384,3825.58,3825.4627348439776,-0.11726515602231302,126.1503,126.1462359735564,-0.00406402644360071,8194.772,8194.861489889654,0.0894898896531231
43,,2485.701,5.721613,5.804705117152968,0.08309211715296883,1062.481,1062.520761620116,0.039761620115996266,3.503819,3.4515760586331083,-0.05224294136689167,3851.42,3851.3812365625595,-0.03876343744059341,127.0023,127.00090942367082,-0.001390576329185933,8010.353,8010.440122132524,0.08712213252420042
44,,2509.019,3.760375,3.8221091189955576,0.06173411899555781,993.5246,993.4942713886076,-0.030328611392405946,3.616048,3.5635167337850877,-0.05253126621491244,3875.35,3875.218477459745,-0.13152254025499133,127.7913,127.78695242646523,-0.004347573534772664,7828.175,7828.268688571618,0.09368857161825872
45,,2532.077,1.071267,1.1623207620452867,0.0910537620452867,923.9595,923.9394954458371,-0.020004554162937893,3.672994,3.623396714740243,-0.04959728525975704,3897.41,3897.291265831701,-0.11873416829894268,128.5188,128.51481186820064,-0.003988131799360417,7648.033,7648.128459361795,0.09545936179438286
46,,2554.887,-2.12266,-1.9866075652640975,0.13605243473590267,853.7587,853.8226968837253,0.0639968837252809,3.661815,3.6199617468338356,-0.04185325316616417,3917.65,3917.6246664046053,-0.025333595394840813,129.186,129.1853142687211,-0.0006857312789065872,7469.836,7469.925691504333,0.08969150433313189
47,,2577.448,-5.59586,-5.4560309936723685,0.1398290063276315,782.9228,782.9040243068569,-0.018775693143197714,3.575129,3.5325126538327316,-0.04261634616726839,3936.07,3935.958300488017,-0.11169951198326089,129.7937,129.7898735316499,-0.0038264683500983665,7293.576,7293.668198321004,0.09219832100370695
48,,2599.756,-9.11966,-8.962234522038317,0.1574254779616826,711.4736,711.4318118866966,-0.04178811330348253,3.410951,3.371468503492642,-0.03948249650735791,3952.71,3952.574770890941,-0.1352291090588551,130.3423,130.33780860298197,-0.00449139701802892,7119.298,7119.387239727764,0.08923972776392475
49,,2621.791,-12.4617,-12.298544832784772,0.16315516721522805,639.4763,639.4755159976535,-0.0007840023465632839,3.172708,3.1399865353300305,-0.03272146466996961,3967.57,3967.4819721031763,-0.08802789682385992,130.8323,130.829379806825,-0.002920193175015129,6947.148,6947.239068949405,0.09106894940487109
50,,2643.529,-15.3887,-15.232883797545204,0.15581620245479577,567.0205,567.0616127236559,0.04111272365594232,2.869107,2.8430286741990027,-0.026078325800997337,3980.66,3980.623849611281,-0.0361503887188519,131.264,131.26273872211988,-0.0012612778801326385,6777.316,6777.411187905363,0.09518790536276356
51,,2664.944,-17.6699,-17.473866622646476,0.19603337735352255,494.2156,494.17885754836817,-0.03674245163182377,2.513849,2.4902881015361795,-0.02356089846382048,3992.01,3991.896021957631,-0.11397804236912634,131.6382,131.63444332658133,-0.003756673418678247,6610.015,6610.1067228368875,0.09172283688712923
52,,2686.006,-19.0804,-18.86116705428528,0.2192329457147224,421.1862,421.1178056435653,-0.0683943564346805,2.12516,2.1065445209338556,-0.01861547906614458,4001.64,4001.500498458825,-0.13950154117492275,131.9558,131.95115496203567,-0.004645037964337462,6445.47,6445.560052658211,0.0900526582108796
53,,2706.687,-19.4053,-19.19182152961011,0.21347847038989087,348.0655,348.00341311960455,-0.06208688039544086,1.725156,1.7122176996130192,-0.012938300386980739,4009.59,4009.463133891857,-0.12686610814307642,132.2179,132.21372620058352,-0.004173799416463453,6283.898,6283.989928874747,0.09192887474728195
54,,2726.963,-18.4432,-18.27029950262343,0.17290049737657043,274.9888,274.95783377830026,-0.030966221699770813,1.339077,1.3308650105134647,-0.008211989486535343,4015.9,4015.8193478325757,-0.08065216742443226,132.4261,132.42332501757397,-0.0027749824260183686,6125.492,6125.583852842121,0.09185284212071565
55,,2746.813,-16.0082,-15.910821445703718,0.09737855429628084,202.0897,202.1039734395719,0.014273439571894642,0.994479,0.9887027352335593,-0.005776264766440664,4020.64,4020.6131086113514,-0.026891388648436987,132.5822,132.58140128711705,-0.0007987128829540779,5970.414,5970.505888280691,0.0918882806909096
56,,2766.221,-11.9323,-11.829709230780585,0.10259076921941457,129.4926,129.48319438699488,-0.009405613005128544,0.720404,0.7193872793203426,-0.0010167206796574124,4023.85,4023.816264475792,-0.03373552420771375,132.6883,132.68702669338631,-0.0012733066136831894,5818.784,5818.881035848159,0.09703584815906652
57,,2785.179,-6.06502,-5.920699136309592,0.14432086369040764,57.30953,57.25219172657853,-0.0573382734214718,0.546647,0.5528092604064818,0.006162260406481823,4025.63,4025.550646644433,-0.07935335556703649,132.7467,132.74421867184188,-0.0024813281581259616,5670.675,5670.771797031746,0.09679703174606402
58,,2800.0,-1.95e-07,-1.7205980203584644e-30,1.95e-07,-1.82e-09,0.0,1.82e-09,0.5,0.4999999999998917,-1.0830225605218402e-13,4026.05,4026.05348569051,0.0034856905099331925,132.7608,132.7608,0.0,5554.888,5554.982836452893,0.09483645289310516
